 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.7537E-04  0.1446E-03 -0.3550E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.57609884E-04  0.14354775E-04 -0.14674825E-03
 0.1000E-13  0.7232E-04  0.1496E-03 -0.3586E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.60717809E-04  0.14891755E-04 -0.15201189E-03
 0.1000E-12  0.6833E-04  0.1548E-03 -0.3614E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.64049236E-04  0.15442248E-04 -0.15755864E-03
 0.1000E-11  0.6256E-04  0.1607E-03 -0.3635E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.68165618E-04  0.16088080E-04 -0.16427236E-03
 0.1000E-10  0.5537E-04  0.1667E-03 -0.3642E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72581793E-04  0.16738134E-04 -0.17130063E-03
 0.1000E-09  0.4822E-04  0.1716E-03 -0.3636E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.76494796E-04  0.17278884E-04 -0.17738476E-03
 0.1000E-08  0.3967E-04  0.1768E-03 -0.3618E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.80817388E-04  0.17844746E-04 -0.18397874E-03
 0.1000E-07  0.2985E-04  0.1818E-03 -0.3587E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.85397684E-04  0.18407285E-04 -0.19081581E-03
 0.1000E-06  0.1746E-04  0.1873E-03 -0.3536E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.90782633E-04  0.19025821E-04 -0.19868109E-03
 0.1000E-05  0.3775E-05  0.1925E-03 -0.3468E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.96328599E-04  0.19616149E-04 -0.20659259E-03
 0.1000E-04 -0.1693E-04  0.1993E-03 -0.3350E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10422932E-03  0.20392573E-04 -0.21760344E-03
 0.1000E-03 -0.4398E-04  0.2065E-03 -0.3176E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11382313E-03  0.21234502E-04 -0.23056610E-03
 0.1000E-02 -0.8363E-04  0.2151E-03 -0.2894E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12700545E-03  0.22256062E-04 -0.24782904E-03
 0.1000E-01 -0.1419E-03  0.2255E-03 -0.2447E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14534720E-03  0.23517788E-04 -0.27116603E-03
 0.1000E+00 -0.2326E-03  0.2441E-03 -0.1761E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.17466591E-03  0.25859878E-04 -0.30937239E-03
 0.1000E+01 -0.3572E-03  0.2957E-03 -0.1050E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.22414546E-03  0.32627927E-04 -0.38338733E-03
 0.1000E+02 -0.5771E-03  0.4067E-03  0.3556E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.31256159E-03  0.48254201E-04 -0.52814856E-03
 0.1000E+03 -0.9507E-03  0.5781E-03  0.2058E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.44655266E-03  0.74875941E-04 -0.75843820E-03
 0.1000E+04 -0.1533E-02  0.8230E-03  0.5439E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.63623879E-03  0.11603689E-03 -0.10973884E-02
 0.1000E+05 -0.2082E-02  0.1130E-02  0.7876E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81461691E-03  0.16932625E-03 -0.14691187E-02
 0.1000E+06 -0.2500E-02  0.1463E-02  0.8760E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.95002218E-03  0.22751281E-03 -0.18157289E-02
 0.1000E+07 -0.2670E-02  0.1723E-02  0.7891E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10109436E-02  0.27317683E-03 -0.20424589E-02
 0.1000E+08 -0.2793E-02  0.1948E-02  0.6892E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10563662E-02  0.31357758E-03 -0.22345599E-02
 0.1000E+09 -0.2833E-02  0.2099E-02  0.5801E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10767299E-02  0.34084134E-03 -0.23539034E-02
 0.1000E+10 -0.2845E-02  0.2198E-02  0.4939E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10894634E-02  0.35891160E-03 -0.24322111E-02
 0.1000E+11 -0.3020E-02  0.2326E-02  0.5419E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11449139E-02  0.38246208E-03 -0.25728153E-02
 0.1000E+12 -0.3083E-02  0.2371E-02  0.5593E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11654203E-02  0.39084595E-03 -0.26235764E-02
 0.1000E+13 -0.3054E-02  0.2404E-02  0.4974E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11644139E-02  0.39686775E-03 -0.26444430E-02
 0.1000E+14 -0.2991E-02  0.2429E-02  0.4106E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11644137E-02  0.40170837E-03 -0.26620242E-02
 0.1000E+15 -0.2952E-02  0.2441E-02  0.3600E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11654657E-02  0.40395699E-03 -0.26712252E-02
 0.1000E+16 -0.2935E-02  0.2445E-02  0.3397E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11667283E-02  0.40465905E-03 -0.26750252E-02
