 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.2688E-04  0.1549E-03 -0.4769E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.73109637E-04  0.15632588E-04 -0.20328459E-03
 0.1000E-13  0.2685E-04  0.1549E-03 -0.4769E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.73129750E-04  0.15635735E-04 -0.20330993E-03
 0.1000E-12  0.2658E-04  0.1551E-03 -0.4770E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.73310142E-04  0.15654791E-04 -0.20359199E-03
 0.1000E-11  0.2450E-04  0.1563E-03 -0.4776E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.74719026E-04  0.15801856E-04 -0.20578700E-03
 0.1000E-10  0.2049E-04  0.1596E-03 -0.4795E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.77779542E-04  0.16153557E-04 -0.21062945E-03
 0.1000E-09  0.1718E-04  0.1617E-03 -0.4802E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.79986971E-04  0.16389142E-04 -0.21404494E-03
 0.1000E-08  0.1363E-04  0.1638E-03 -0.4807E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.82255361E-04  0.16625348E-04 -0.21752343E-03
 0.1000E-07  0.9278E-05  0.1663E-03 -0.4809E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.84915613E-04  0.16894436E-04 -0.22155998E-03
 0.1000E-06  0.4153E-05  0.1689E-03 -0.4806E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.87898965E-04  0.17186331E-04 -0.22603355E-03
 0.1000E-05 -0.2293E-05  0.1718E-03 -0.4798E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.91468650E-04  0.17522236E-04 -0.23131534E-03
 0.1000E-04 -0.1015E-04  0.1751E-03 -0.4781E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.95593445E-04  0.17892971E-04 -0.23732636E-03
 0.1000E-03 -0.1928E-04  0.1785E-03 -0.4754E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10013375E-03  0.18280443E-04 -0.24383450E-03
 0.1000E-02 -0.2924E-04  0.1818E-03 -0.4716E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10485013E-03  0.18661977E-04 -0.25048521E-03
 0.1000E-01 -0.4157E-04  0.1854E-03 -0.4663E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11041799E-03  0.19088239E-04 -0.25821084E-03
 0.1000E+00 -0.5894E-04  0.1900E-03 -0.4575E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11788407E-03  0.19624005E-04 -0.26837892E-03
 0.1000E+01 -0.8080E-04  0.1952E-03 -0.4452E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.12687956E-03  0.20247945E-04 -0.28044870E-03
 0.1000E+02 -0.1001E-03  0.2029E-03 -0.4369E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13595324E-03  0.21166698E-04 -0.29342139E-03
 0.1000E+03 -0.1006E-03  0.2265E-03 -0.4594E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.14602711E-03  0.23977845E-04 -0.31339754E-03
 0.1000E+04 -0.6973E-04  0.2800E-03 -0.5375E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.15935140E-03  0.30547527E-04 -0.34903678E-03
 0.1000E+05 -0.2304E-04  0.3496E-03 -0.6448E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.17353511E-03  0.39473865E-04 -0.39357674E-03
 0.1000E+06  0.1969E-04  0.4202E-03 -0.7499E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.18802217E-03  0.48989539E-04 -0.44084879E-03
 0.1000E+07  0.4930E-04  0.4862E-03 -0.8395E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.20297238E-03  0.58334771E-04 -0.48852739E-03
 0.1000E+08  0.5994E-04  0.5513E-03 -0.9118E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.22061935E-03  0.67934745E-04 -0.54043909E-03
 0.1000E+09  0.5106E-04  0.6190E-03 -0.9692E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.24154938E-03  0.78268038E-04 -0.59874988E-03
 0.1000E+10  0.1472E-04  0.6970E-03 -0.1011E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.26913920E-03  0.90514508E-04 -0.67110545E-03
 0.1000E+11 -0.6412E-04  0.7945E-03 -0.1033E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.30825149E-03  0.10627930E-03 -0.76817044E-03
 0.1000E+12 -0.2211E-03  0.9351E-03 -0.1021E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.37111298E-03  0.12976981E-03 -0.91750466E-03
 0.1000E+13 -0.5306E-03  0.1158E-02 -0.9410E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.47939914E-03  0.16831856E-03 -0.11673570E-02
 0.1000E+14 -0.1135E-02  0.1521E-02 -0.7066E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.66756728E-03  0.23269790E-03 -0.15908681E-02
 0.1000E+15 -0.2151E-02  0.2066E-02 -0.2419E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.96337114E-03  0.33154535E-03 -0.22458650E-02
 0.1000E+16 -0.3515E-02  0.2760E-02  0.4245E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13477191E-02  0.45834783E-03 -0.30878149E-02
