 Eps N1  
    Temp        ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
       86.0  0.4633E-06 -0.4298E-05  0.4633E-06  0.1681E-04  0.1681E-04  0.1681E-04  0.50527224E-05  0.11615871E-05  0.50527224E-05
       87.0 -0.8753E-06  0.7300E-05 -0.8753E-06 -0.2151E-04 -0.2151E-04 -0.2151E-04 -0.62078872E-05 -0.13115405E-05 -0.62078872E-05
       88.0  0.1012E-05 -0.8299E-05  0.1012E-05  0.2307E-04  0.2307E-04  0.2307E-04  0.65927225E-05  0.13617310E-05  0.65927225E-05
       89.0 -0.1423E-05  0.1130E-04 -0.1423E-05 -0.2777E-04 -0.2777E-04 -0.2777E-04 -0.77476693E-05 -0.15119475E-05 -0.77476693E-05
       90.0  0.1560E-05 -0.1230E-04  0.1560E-05  0.2933E-04  0.2933E-04  0.2933E-04  0.81324389E-05  0.15622777E-05  0.81324389E-05
       91.0 -0.1971E-05  0.1529E-04 -0.1971E-05 -0.3403E-04 -0.3403E-04 -0.3403E-04 -0.92875510E-05 -0.17126443E-05 -0.92875510E-05
       92.0  0.2107E-05 -0.1629E-04  0.2107E-05  0.3559E-04  0.3559E-04  0.3559E-04  0.96722911E-05  0.17631216E-05  0.96722911E-05
       93.0 -0.2519E-05  0.1929E-04 -0.2519E-05 -0.4029E-04 -0.4029E-04 -0.4029E-04 -0.10827812E-04 -0.19137156E-05 -0.10827812E-04
       94.0  0.2656E-05 -0.2028E-04  0.2656E-05  0.4185E-04  0.4185E-04  0.4185E-04  0.11213044E-04  0.19642198E-05  0.11213044E-04
       95.0 -0.2972E-05  0.2258E-04 -0.2972E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12099129E-04 -0.20798661E-05 -0.12099129E-04
       96.0  0.2970E-05 -0.2257E-04  0.2970E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12098453E-04  0.20805230E-05  0.12098453E-04
       97.0 -0.2968E-05  0.2257E-04 -0.2968E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12097796E-04 -0.20811789E-05 -0.12097796E-04
       98.0  0.2967E-05 -0.2256E-04  0.2967E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12097146E-04  0.20818316E-05  0.12097146E-04
       99.0 -0.2965E-05  0.2255E-04 -0.2965E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12096490E-04 -0.20824878E-05 -0.12096490E-04
      100.0  0.2963E-05 -0.2255E-04  0.2963E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12095835E-04  0.20831437E-05  0.12095835E-04
      101.0 -0.2961E-05  0.2254E-04 -0.2961E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12095179E-04 -0.20838014E-05 -0.12095179E-04
      102.0  0.2959E-05 -0.2254E-04  0.2959E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12094522E-04  0.20844597E-05  0.12094522E-04
      103.0 -0.2958E-05  0.2253E-04 -0.2958E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12093864E-04 -0.20851194E-05 -0.12093864E-04
      104.0  0.2956E-05 -0.2252E-04  0.2956E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12093205E-04  0.20857799E-05  0.12093205E-04
      105.0 -0.2954E-05  0.2252E-04 -0.2954E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12092545E-04 -0.20864420E-05 -0.12092545E-04
      106.0  0.2952E-05 -0.2251E-04  0.2952E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12091884E-04  0.20871047E-05  0.12091884E-04
      107.0 -0.2951E-05  0.2251E-04 -0.2951E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12091223E-04 -0.20877685E-05 -0.12091223E-04
      108.0  0.2949E-05 -0.2250E-04  0.2949E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12090558E-04  0.20884343E-05  0.12090558E-04
      109.0 -0.2947E-05  0.2249E-04 -0.2947E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12089895E-04 -0.20891002E-05 -0.12089895E-04
      110.0  0.2945E-05 -0.2249E-04  0.2945E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12089232E-04  0.20897667E-05  0.12089232E-04
      111.0 -0.2943E-05  0.2248E-04 -0.2943E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12088566E-04 -0.20904349E-05 -0.12088566E-04
      112.0  0.2942E-05 -0.2247E-04  0.2942E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12087900E-04  0.20911041E-05  0.12087900E-04
      113.0 -0.2940E-05  0.2247E-04 -0.2940E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12087234E-04 -0.20917744E-05 -0.12087234E-04
      114.0  0.2938E-05 -0.2246E-04  0.2938E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12086566E-04  0.20924458E-05  0.12086566E-04
      115.0 -0.2936E-05  0.2246E-04 -0.2936E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12085897E-04 -0.20931182E-05 -0.12085897E-04
      116.0  0.2934E-05 -0.2245E-04  0.2934E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12085228E-04  0.20937913E-05  0.12085228E-04
      117.0 -0.2932E-05  0.2244E-04 -0.2932E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12084558E-04 -0.20944661E-05 -0.12084558E-04
      118.0  0.2931E-05 -0.2244E-04  0.2931E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12083886E-04  0.20951418E-05  0.12083886E-04
      119.0 -0.2929E-05  0.2243E-04 -0.2929E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12083213E-04 -0.20958188E-05 -0.12083213E-04
      120.0  0.2927E-05 -0.2242E-04  0.2927E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12082540E-04  0.20964967E-05  0.12082540E-04
      121.0 -0.2925E-05  0.2242E-04 -0.2925E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12081866E-04 -0.20971757E-05 -0.12081866E-04
      122.0  0.2923E-05 -0.2241E-04  0.2923E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12081191E-04  0.20978558E-05  0.12081191E-04
      123.0 -0.2921E-05  0.2241E-04 -0.2921E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12080515E-04 -0.20985371E-05 -0.12080515E-04
      124.0  0.2920E-05 -0.2240E-04  0.2920E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12079839E-04  0.20992194E-05  0.12079839E-04
      125.0 -0.2918E-05  0.2239E-04 -0.2918E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12079161E-04 -0.20999029E-05 -0.12079161E-04
      126.0  0.2916E-05 -0.2239E-04  0.2916E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12078482E-04  0.21005875E-05  0.12078482E-04
      127.0 -0.2914E-05  0.2238E-04 -0.2914E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12077802E-04 -0.21012733E-05 -0.12077802E-04
      128.0  0.2912E-05 -0.2237E-04  0.2912E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12077122E-04  0.21019601E-05  0.12077122E-04
      129.0 -0.2910E-05  0.2237E-04 -0.2910E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12076440E-04 -0.21026481E-05 -0.12076440E-04
      130.0  0.2909E-05 -0.2236E-04  0.2909E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12075757E-04  0.21033377E-05  0.12075757E-04
      131.0 -0.2907E-05  0.2235E-04 -0.2907E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12075074E-04 -0.21040273E-05 -0.12075074E-04
      132.0  0.2905E-05 -0.2235E-04  0.2905E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12074390E-04  0.21047187E-05  0.12074390E-04
      133.0 -0.2903E-05  0.2234E-04 -0.2903E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12073705E-04 -0.21054112E-05 -0.12073705E-04
      134.0  0.2901E-05 -0.2233E-04  0.2901E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12073019E-04  0.21061048E-05  0.12073019E-04
      135.0 -0.2899E-05  0.2233E-04 -0.2899E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12072332E-04 -0.21067997E-05 -0.12072332E-04
      136.0  0.2897E-05 -0.2232E-04  0.2897E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12071644E-04  0.21074956E-05  0.12071644E-04
      137.0 -0.2895E-05  0.2232E-04 -0.2895E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12070955E-04 -0.21081927E-05 -0.12070955E-04
      138.0  0.2894E-05 -0.2231E-04  0.2894E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12070265E-04  0.21088909E-05  0.12070265E-04
      139.0 -0.2892E-05  0.2230E-04 -0.2892E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12069574E-04 -0.21095904E-05 -0.12069574E-04
      140.0  0.2890E-05 -0.2230E-04  0.2890E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12068882E-04  0.21102909E-05  0.12068882E-04
      141.0 -0.2888E-05  0.2229E-04 -0.2888E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12068189E-04 -0.21109927E-05 -0.12068189E-04
      142.0  0.2886E-05 -0.2228E-04  0.2886E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12067496E-04  0.21116956E-05  0.12067496E-04
      143.0 -0.2884E-05  0.2228E-04 -0.2884E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12066801E-04 -0.21123997E-05 -0.12066801E-04
      144.0  0.2882E-05 -0.2227E-04  0.2882E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12066105E-04  0.21131049E-05  0.12066105E-04
      145.0 -0.2880E-05  0.2226E-04 -0.2880E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12065409E-04 -0.21138114E-05 -0.12065409E-04
      146.0  0.2878E-05 -0.2226E-04  0.2878E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12064711E-04  0.21145189E-05  0.12064711E-04
      147.0 -0.2877E-05  0.2225E-04 -0.2877E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12064012E-04 -0.21152278E-05 -0.12064012E-04
      148.0  0.2875E-05 -0.2224E-04  0.2875E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12063313E-04  0.21159377E-05  0.12063313E-04
      149.0 -0.2873E-05  0.2224E-04 -0.2873E-05 -0.4545E-04 -0.4545E-04 -0.4545E-04 -0.12062612E-04 -0.21166489E-05 -0.12062612E-04
      150.0  0.2871E-05 -0.2223E-04  0.2871E-05  0.4545E-04  0.4545E-04  0.4545E-04  0.12061911E-04  0.21173613E-05  0.12061911E-04
