 Eps N1  
    Times       ex          ey          ez          ex_th       ey_th       ez_th       ux(N1)      uy(N1)      uz(N1)  
 0.1000E-14  0.7920E-04  0.1261E-03 -0.3353E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.48222764E-04  0.12446810E-04 -0.12985730E-03
 0.1000E-13  0.7881E-04  0.1295E-03 -0.3394E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.50036939E-04  0.12806700E-04 -0.13312066E-03
 0.1000E-12  0.7821E-04  0.1327E-03 -0.3430E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.51783848E-04  0.13145119E-04 -0.13623602E-03
 0.1000E-11  0.7732E-04  0.1361E-03 -0.3465E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.53697817E-04  0.13507026E-04 -0.13961275E-03
 0.1000E-10  0.7595E-04  0.1401E-03 -0.3503E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.56004115E-04  0.13931307E-04 -0.14363317E-03
 0.1000E-09  0.7425E-04  0.1439E-03 -0.3536E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.58323606E-04  0.14343526E-04 -0.14761699E-03
 0.1000E-08  0.7210E-04  0.1479E-03 -0.3567E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.60816421E-04  0.14772252E-04 -0.15184025E-03
 0.1000E-07  0.6887E-04  0.1529E-03 -0.3599E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.64065465E-04  0.15309532E-04 -0.15725748E-03
 0.1000E-06  0.6401E-04  0.1588E-03 -0.3628E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.68216925E-04  0.15960336E-04 -0.16403410E-03
 0.1000E-05  0.5773E-04  0.1649E-03 -0.3645E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.72818773E-04  0.16636187E-04 -0.17136058E-03
 0.1000E-04  0.5128E-04  0.1700E-03 -0.3647E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.76983421E-04  0.17208826E-04 -0.17783237E-03
 0.1000E-03  0.4382E-04  0.1751E-03 -0.3640E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.81419261E-04  0.17786153E-04 -0.18459398E-03
 0.1000E-02  0.3513E-04  0.1802E-03 -0.3620E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.86167158E-04  0.18366090E-04 -0.19167732E-03
 0.1000E-01  0.2425E-04  0.1857E-03 -0.3583E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.91698605E-04  0.18999610E-04 -0.19975863E-03
 0.1000E+00  0.1221E-04  0.1910E-03 -0.3532E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.97455461E-04  0.19621786E-04 -0.20801030E-03
 0.1000E+01 -0.3868E-05  0.1988E-03 -0.3469E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10542922E-03  0.20545750E-04 -0.21960168E-03
 0.1000E+02 -0.1449E-04  0.2161E-03 -0.3544E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11600877E-03  0.22619791E-04 -0.23774760E-03
 0.1000E+03 -0.4250E-05  0.2576E-03 -0.4046E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.13158486E-03  0.27760887E-04 -0.27151138E-03
 0.1000E+04  0.1411E-04  0.3203E-03 -0.4830E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.15236961E-03  0.35903009E-04 -0.32115743E-03
 0.1000E+05  0.1275E-04  0.3985E-03 -0.5582E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.18142636E-03  0.46665999E-04 -0.38883730E-03
 0.1000E+06 -0.3647E-04  0.4968E-03 -0.6075E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.22457821E-03  0.61208991E-04 -0.48473787E-03
 0.1000E+07 -0.1909E-03  0.6375E-03 -0.5957E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.29707894E-03  0.83510486E-04 -0.63862542E-03
 0.1000E+08 -0.5110E-03  0.8406E-03 -0.4808E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.40975917E-03  0.11750558E-03 -0.87545058E-03
 0.1000E+09 -0.1048E-02  0.1124E-02 -0.2288E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.57175761E-03  0.16652946E-03 -0.12162400E-02
 0.1000E+10 -0.1658E-02  0.1436E-02  0.6897E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.74405801E-03  0.22166072E-03 -0.15891206E-02
 0.1000E+11 -0.2162E-02  0.1706E-02  0.3023E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.88458731E-03  0.26985822E-03 -0.19046054E-02
 0.1000E+12 -0.2446E-02  0.1883E-02  0.4100E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.96671328E-03  0.30163370E-03 -0.21019068E-02
 0.1000E+13 -0.2645E-02  0.2009E-02  0.4834E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10267384E-02  0.32439745E-03 -0.22443452E-02
 0.1000E+14 -0.2793E-02  0.2068E-02  0.5708E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10666860E-02  0.33548945E-03 -0.23243388E-02
 0.1000E+15 -0.2818E-02  0.2137E-02  0.5277E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.10844599E-02  0.34775553E-03 -0.23865671E-02
 0.1000E+16 -0.3004E-02  0.2228E-02  0.6226E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.11402960E-02  0.36457405E-03 -0.25031200E-02
